0	0,1,2,3,4,5	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
1	6,7,8,9,10,11	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
2	12,13,14,15,16,17	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
3	18,19,20,21,22,23	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
4	24,25,26,27,28,29	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
5	30,31,32,33,34,35	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
6	36,37,38,39,40,41	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
7	42,43,44,45,46,47	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
8	48,49,50,51,52,53	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
9	54,55,56,57,58,59	-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1	5,6,1,6,7,2,7,8,4,8,5,1,1,2,3,8,7,6,6,2,1,7,3,2,3,7,4,4,8,1,4,1,3,5,8,6
